a	a1
ngoài	NG waj2
ngoàm	NG wam2
ngoác	NG wak5
ngoách	NG wEXk5
ngoái	NG waj5
ngoáo	NG waw5
ngoáy	NG waXj5
ngoã	NG wa4
ngoãn	NG wan4
ngoèo	NG wEw2
ngoéo	NG wEw5
ngoét	NG wEt5
ngoại	NG waj6
ngoạm	NG wam6
ngoạn	NG wan6
ngoải	NG waj3
ngoảng	NG waNG3
ngoảnh	NG wEXNJ3
ngoảy	NG waXj3
ngoắc	NG waXk5
ngoắt	NG waXt5
ngoằn	NG waXn2
ngoằng	NG waXNG2
ngoẵng	NG waXNG4
ngoặc	NG waXk6
ngoặt	NG waXt6
ngoẻn	NG wEn3
ngu	NG u1
nguy	NG wi1
nguyên	NG wien1
nguyền	NG wien2
nguyễn	NG wien4
nguyện	NG wien6
nguyệt	NG wiet6
nguýt	NG wit5
nguẩy	NG w7Xj3
nguồi	NG uoj2
nguồn	NG uon2
nguội	NG uoj6
nguỷu	NG wiw3
ngà	NG a2
ngài	NG aj2
ngàm	NG am2
ngàn	NG an2
ngàng	NG aNG2
ngành	NG EXNJ2
ngào	NG aw2
ngàu	NG aXw2
ngày	NG aXj2
ngác	NG ak5
ngách	NG EXk5
ngái	NG aj5
ngám	NG am5
ngán	NG an5
ngáng	NG aNG5
ngáo	NG aw5
ngáp	NG ap5
ngát	NG at5
ngáu	NG aXw5
ngáy	NG aXj5
ngâm	NG 7Xm1
ngân	NG 7Xn1
ngâu	NG 7Xw1
ngây	NG 7Xj1
ngã	NG a4
ngãi	NG aj4
ngãng	NG aNG4
ngão	NG aw4
ngía	NG ie5
ngò	NG O2
ngòi	NG Oj2
ngòm	NG Om2
ngòn	NG On2
ngòng	NG OXNG2
ngó	NG O5
ngóc	NG OXk5
ngóe	NG wE5
ngóeo	NG wEw5
ngói	NG Oj5
ngóm	NG Om5
ngón	NG On5
ngóng	NG OXNG5
ngóp	NG Op5
ngót	NG Ot5
ngô	NG o1
ngôi	NG oj1
ngôn	NG on1
ngông	NG oNG1
ngõ	NG O4
ngõi	NG Oj4
ngõng	NG OXNG4
ngùi	NG uj2
ngùng	NG uNG2
ngú	NG u5
ngúc	NG uk5
ngúng	NG uNG5
ngút	NG ut5
ngăm	NG aXm1
ngăn	NG aXn1
ngũ	NG u4
ngơ	NG 71
ngơi	NG 7j1
ngơm	NG 7m1
ngơn	NG 7n1
ngư	NG M1
ngưa	NG M71
ngưng	NG MNG1
ngưu	NG Mw1
ngươi	NG M7j1
ngước	NG M7k5
người	NG M7j2
ngường	NG M7NG2
ngưởng	NG M7NG3
ngưỡng	NG M7NG4
ngược	NG M7k6
ngượng	NG M7NG6
ngạc	NG ak6
ngạch	NG EXk6
ngại	NG aj6
ngạn	NG an6
ngạnh	NG EXNJ6
ngạo	NG aw6
ngạt	NG at6
ngả	NG a3
ngải	NG aj3
ngảnh	NG EXNJ3
ngấc	NG 7Xk5
ngấm	NG 7Xm5
ngấn	NG 7Xn5
ngấp	NG 7Xp5
ngất	NG 7Xt5
ngấu	NG 7Xw5
ngấy	NG 7Xj5
ngầm	NG 7Xm2
ngần	NG 7Xn2
ngầu	NG 7Xw2
ngầy	NG 7Xj2
ngẩm	NG 7Xm3
ngẩn	NG 7Xn3
ngẩng	NG 7XNG3
ngẫm	NG 7Xm4
ngẫn	NG 7Xn4
ngẫu	NG 7Xw4
ngậm	NG 7Xm6
ngận	NG 7Xn6
ngập	NG 7Xp6
ngật	NG 7Xt6
ngậu	NG 7Xw6
ngậy	NG 7Xj6
ngắc	NG aXk5
ngắm	NG aXm5
ngắn	NG aXn5
ngắt	NG aXt5
ngằn	NG aXn2
ngẳng	NG aXNG3
ngẵng	NG aXNG4
ngặt	NG aXt6
ngọ	NG O6
ngọc	NG OXk6
ngọn	NG On6
ngọng	NG OXNG6
ngọt	NG Ot6
ngỏ	NG O3
ngỏm	NG Om3
ngỏn	NG On3
ngỏng	NG OXNG3
ngố	NG o5
ngốc	NG ok5
ngốn	NG on5
ngốt	NG ot5
ngồi	NG oj2
ngồm	NG om2
ngồn	NG on2
ngồng	NG oNG2
ngổ	NG o3
ngổi	NG oj3
ngổm	NG om3
ngổn	NG on3
ngỗ	NG o4
ngỗng	NG oNG4
ngộ	NG o6
ngộc	NG ok6
ngộn	NG on6
ngột	NG ot6
ngớ	NG 75
ngớn	NG 7n5
ngớp	NG 7p5
ngớt	NG 7t5
ngờ	NG 72
ngời	NG 7j2
ngờm	NG 7m2
ngỡ	NG 74
ngợ	NG 76
ngợi	NG 7j6
ngợm	NG 7m6
ngợp	NG 7p6
ngụ	NG u6
ngụa	NG uo6
ngục	NG uk6
ngụm	NG um6
ngụp	NG up6
ngụy	NG wi6
ngủ	NG u3
ngủi	NG uj3
ngủn	NG un3
ngứ	NG M5
ngứa	NG M75
ngứt	NG Mt5
ngừ	NG M2
ngừa	NG M72
ngừng	NG MNG2
ngửa	NG M73
ngửi	NG Mj3
ngửng	NG MNG3
ngữ	NG M4
ngự	NG M6
ngựa	NG M76
ngực	NG Mk6
nha	NJ a1
nhai	NJ aj1
nham	NJ am1
nhan	NJ an1
nhang	NJ aNG1
nhanh	NJ EXNJ1
nhao	NJ aw1
nhau	NJ aXw1
nhay	NJ aXj1
nhe	NJ E1
nhem	NJ Em1
nhen	NJ En1
nheo	NJ Ew1
nhi	NJ i1
nhinh	NJ iNJ1
nhiu	NJ iw1
nhiên	NJ ien1
nhiêu	NJ iew1
nhiếc	NJ iek5
nhiếp	NJ iep5
nhiều	NJ iew2
nhiễm	NJ iem4
nhiễn	NJ ien4
nhiễu	NJ iew4
nhiệm	NJ iem6
nhiệt	NJ iet6
nho	NJ O1
nhoai	NJ waj1
nhoang	NJ waNG1
nhoay	NJ waXj1
nhoe	NJ wE1
nhoen	NJ wEn1
nhoi	NJ Oj1
nhom	NJ Om1
nhong	NJ OXNG1
nhoà	NJ wa2
nhoài	NJ waj2
nhoàm	NJ wam2
nhoáng	NJ waNG5
nhoáy	NJ waXj5
nhoèn	NJ wEn2
nhoét	NJ wEt5
nhoạng	NJ waNG6
nhoẹt	NJ wEt6
nhoẻn	NJ wEn3
nhu	NJ u1
nhui	NJ uj1
nhung	NJ uNG1
nhuyễn	NJ wien4
nhuôm	NJ uom1
nhuần	NJ w7Xn2
nhuận	NJ w7Xn6
nhuế	NJ we5
nhuệ	NJ we6
nhuốc	NJ uok5
nhuốm	NJ uom5
nhuộm	NJ uom6
nhà	NJ a2
nhài	NJ aj2
nhàm	NJ am2
nhàn	NJ an2
nhàng	NJ aNG2
nhành	NJ EXNJ2
nhào	NJ aw2
nhàu	NJ aXw2
nhày	NJ aXj2
nhá	NJ a5
nhác	NJ ak5
nhách	NJ EXk5
nhái	NJ aj5
nhám	NJ am5
nháng	NJ aNG5
nhánh	NJ EXNJ5
nháo	NJ aw5
nháp	NJ ap5
nhát	NJ at5
nháy	NJ aXj5
nhâm	NJ 7Xm1
nhân	NJ 7Xn1
nhâng	NJ 7XNG1
nhâu	NJ 7Xw1
nhây	NJ 7Xj1
nhã	NJ a4
nhãi	NJ aj4
nhãn	NJ an4
nhãng	NJ aNG4
nhão	NJ aw4
nhè	NJ E2
nhèm	NJ Em2
nhèo	NJ Ew2
nhé	NJ E5
nhén	NJ En5
nhéo	NJ Ew5
nhép	NJ Ep5
nhét	NJ Et5
nhênh	NJ eNJ1
nhì	NJ i2
nhìn	NJ in2
nhí	NJ i5
nhía	NJ ie5
nhích	NJ ik5
nhím	NJ im5
nhín	NJ in5
nhíp	NJ ip5
nhít	NJ it5
nhíu	NJ iw5
nhò	NJ O2
nhòa	NJ wa2
nhòe	NJ wE2
nhòm	NJ Om2
nhòn	NJ On2
nhó	NJ O5
nhóa	NJ wa5
nhóc	NJ OXk5
nhóe	NJ wE5
nhói	NJ Oj5
nhóm	NJ Om5
nhón	NJ On5
nhóng	NJ OXNG5
nhóp	NJ Op5
nhót	NJ Ot5
nhô	NJ o1
nhôi	NJ oj1
nhôm	NJ om1
nhôn	NJ on1
nhông	NJ oNG1
nhõ	NJ O4
nhõm	NJ Om4
nhõn	NJ On4
nhù	NJ u2
nhùi	NJ uj2
nhùn	NJ un2
nhùng	NJ uNG2
nhú	NJ u5
nhúa	NJ uo5
nhúc	NJ uk5
nhúm	NJ um5
nhún	NJ un5
nhúng	NJ uNG5
nhút	NJ ut5
nhăm	NJ aXm1
nhăn	NJ aXn1
nhăng	NJ aXNG1
nhĩ	NJ i4
nhũ	NJ u4
nhũn	NJ un4
nhũng	NJ uNG4
nhơ	NJ 71
nhơi	NJ 7j1
nhơm	NJ 7m1
nhơn	NJ 7n1
như	NJ M1
nhưng	NJ MNG1
nhương	NJ M7NG1
nhướng	NJ M7NG5
nhường	NJ M7NG2
nhưỡng	NJ M7NG4
nhược	NJ M7k6
nhượng	NJ M7NG6
nhạc	NJ ak6
nhại	NJ aj6
nhạn	NJ an6
nhạnh	NJ EXNJ6
nhạo	NJ aw6
nhạp	NJ ap6
nhạt	NJ at6
nhạy	NJ aXj6
nhả	NJ a3
nhải	NJ aj3
nhảm	NJ am3
nhản	NJ an3
nhảnh	NJ EXNJ3
nhảu	NJ aXw3
nhảy	NJ aXj3
nhấc	NJ 7Xk5
nhấm	NJ 7Xm5
nhấn	NJ 7Xn5
nhấp	NJ 7Xp5
nhất	NJ 7Xt5
nhầm	NJ 7Xm2
nhần	NJ 7Xn2
nhầy	NJ 7Xj2
nhẩm	NJ 7Xm3
nhẫn	NJ 7Xn4
nhẫy	NJ 7Xj4
nhậm	NJ 7Xm6
nhận	NJ 7Xn6
nhập	NJ 7Xp6
nhật	NJ 7Xt6
nhậu	NJ 7Xw6
nhậy	NJ 7Xj6
nhắc	NJ aXk5
nhắm	NJ aXm5
nhắn	NJ aXn5
nhắng	NJ aXNG5
nhắp	NJ aXp5
nhắt	NJ aXt5
nhằm	NJ aXm2
nhằn	NJ aXn2
nhằng	NJ aXNG2
nhẳn	NJ aXn3
nhẳng	NJ aXNG3
nhẵn	NJ aXn4
nhẵng	NJ aXNG4
nhặm	NJ aXm6
nhặn	NJ aXn6
nhặng	NJ aXNG6
nhặt	NJ aXt6
nhẹ	NJ E6
nhẹm	NJ Em6
nhẹn	NJ En6
nhẹo	NJ Ew6
nhẹp	NJ Ep6
nhẹt	NJ Et6
nhẻ	NJ E3
nhẻm	NJ Em3
nhẽ	NJ E4
nhẽo	NJ Ew4
nhễ	NJ e4
nhện	NJ en6
nhệu	NJ ew6
nhỉ	NJ i3
nhỉnh	NJ iNJ3
nhị	NJ i6
nhịn	NJ in6
nhịp	NJ ip6
nhịt	NJ it6
nhịu	NJ iw6
nhọ	NJ O6
nhọc	NJ OXk6
nhọn	NJ On6
nhọt	NJ Ot6
nhỏ	NJ O3
nhỏm	NJ Om3
nhỏng	NJ OXNG3
nhố	NJ o5
nhốc	NJ ok5
nhối	NJ oj5
nhốn	NJ on5
nhốt	NJ ot5
nhồi	NJ oj2
nhồm	NJ om2
nhồn	NJ on2
nhồng	NJ oNG2
nhổ	NJ o3
nhổm	NJ om3
nhổn	NJ on3
nhộn	NJ on6
nhộng	NJ oNG6
nhột	NJ ot6
nhớ	NJ 75
nhớm	NJ 7m5
nhớn	NJ 7n5
nhớp	NJ 7p5
nhớt	NJ 7t5
nhờ	NJ 72
nhời	NJ 7j2
nhờn	NJ 7n2
nhở	NJ 73
nhởn	NJ 7n3
nhỡ	NJ 74
nhợ	NJ 76
nhợt	NJ 7t6
nhụ	NJ u6
nhụa	NJ uo6
nhục	NJ uk6
nhụi	NJ uj6
nhụng	NJ uNG6
nhụt	NJ ut6
nhụy	NJ wi6
nhủ	NJ u3
nhủi	NJ uj3
nhủn	NJ un3
nhứ	NJ M5
nhức	NJ Mk5
nhứt	NJ Mt5
nhừ	NJ M2
nhử	NJ M3
nhửng	NJ MNG3
những	NJ MNG4
nhự	NJ M6
nhựa	NJ M76
nhựt	NJ Mt6
ni	n i1
nia	n ie1
nin	n in1
ninh	n iNJ1
niu	n iw1
niêm	n iem1
niên	n ien1
niêu	n iew1
niết	n iet5
niềm	n iem2
niền	n ien2
niềng	n ieNG2
niễng	n ieNG4
niệm	n iem6
niệt	n iet6
niệu	n iew6
no	n O1
noa	n wa1
noi	n Oj1
nom	n Om1
non	n On1
nong	n OXNG1
noãn	n wan4
nua	n uo1
nung	n uNG1
nuôi	n uoj1
nuông	n uoNG1
nuốc	n uok5
nuối	n uoj5
nuốm	n uom5
nuốt	n uot5
nuộc	n uok6
nuột	n uot6
nà	n a2
nài	n aj2
nàn	n an2
nàng	n aNG2
nành	n EXNJ2
nào	n aw2
này	n aXj2
ná	n a5
nác	n ak5
nách	n EXk5
nái	n aj5
nám	n am5
nán	n an5
náng	n aNG5
nánh	n EXNJ5
náo	n aw5
nát	n at5
náu	n aXw5
náy	n aXj5
nân	n 7Xn1
nâng	n 7XNG1
nâu	n 7Xw1
nây	n 7Xj1
nã	n a4
não	n aw4
nãy	n aXj4
nè	n E2
nèo	n Ew2
né	n E5
ném	n Em5
nén	n En5
néo	n Ew5
nép	n Ep5
nét	n Et5
nê	n e1
nêm	n em1
nên	n en1
nêu	n ew1
nì	n i2
nình	n iNJ2
ních	n ik5
nín	n in5
nính	n iNJ5
níp	n ip5
nít	n it5
níu	n iw5
nò	n O2
nòi	n Oj2
nó	n O5
nóc	n OXk5
nói	n Oj5
nón	n On5
nóng	n OXNG5
nót	n Ot5
nô	n o1
nôi	n oj1
nôm	n om1
nôn	n on1
nông	n oNG1
nõ	n O4
nõn	n On4
nùi	n uj2
nùn	n un2
nùng	n uNG2
núc	n uk5
núi	n uj5
núm	n um5
núng	n uNG5
núp	n up5
nút	n ut5
năm	n aXm1
năn	n aXn1
năng	n aXNG1
nĩa	n ie4
nũng	n uNG4
nơ	n 71
nơi	n 7j1
nơm	n 7m1
nư	n M1
nưa	n M71
nưng	n MNG1
nương	n M7NG1
nước	n M7k5
nướng	n M7NG5
nườm	n M7m2
nường	n M7NG2
nược	n M7k6
nượp	n M7p6
nạ	n a6
nạc	n ak6
nại	n aj6
nạm	n am6
nạn	n an6
nạng	n aNG6
nạnh	n EXNJ6
nạo	n aw6
nạp	n ap6
nạt	n at6
nạy	n aXj6
nả	n a3
nải	n aj3
nản	n an3
nảy	n aXj3
nấc	n 7Xk5
nấm	n 7Xm5
nấng	n 7XNG5
nấp	n 7Xp5
nấu	n 7Xw5
nấy	n 7Xj5
nầm	n 7Xm2
nần	n 7Xn2
nầy	n 7Xj2
nẩy	n 7Xj3
nẫng	n 7XNG4
nẫu	n 7Xw4
nậm	n 7Xm6
nậng	n 7XNG6
nập	n 7Xp6
nậu	n 7Xw6
nậy	n 7Xj6
nắc	n aXk5
nắm	n aXm5
nắn	n aXn5
nắng	n aXNG5
nắp	n aXp5
nằm	n aXm2
nằn	n aXn2
nằng	n aXNG2
nẵng	n aXNG4
nặc	n aXk6
nặn	n aXn6
nặng	n aXNG6
nẹp	n Ep6
nẹt	n Et6
nẻ	n E3
nẻo	n Ew3
nếm	n em5
nến	n en5
nếp	n ep5
nết	n et5
nếu	n ew5
nề	n e2
nền	n en2
nể	n e3
nệ	n e6
nệm	n em6
nện	n en6
nỉ	n i3
nịch	n ik6
nịnh	n iNJ6
nịt	n it6
nịu	n iw6
nọ	n O6
nọc	n OXk6
nọn	n On6
nọng	n OXNG6
nọt	n Ot6
nỏ	n O3
nỏi	n Oj3
nố	n o5
nốc	n ok5
nối	n oj5
nống	n oNG5
nốt	n ot5
nồ	n o2
nồi	n oj2
nồm	n om2
nồng	n oNG2
nổ	n o3
nổi	n oj3
nỗ	n o4
nỗi	n oj4
nỗng	n oNG4
nộ	n o6
nội	n oj6
nộm	n om6
nộn	n on6
nộp	n op6
nột	n ot6
nớ	n 75
nới	n 7j5
nớp	n 7p5
nớt	n 7t5
nờ	n 72
nờm	n 7m2
nở	n 73
nỡ	n 74
nỡm	n 7m4
nợ	n 76
nợp	n 7p6
nụ	n u6
nục	n uk6
nủa	n uo3
nứa	n M75
nức	n Mk5
nứt	n Mt5
nừng	n MNG2
nửa	n M73
nữ	n M4
nữa	n M74
nự	n M6
nực	n Mk6
nựng	n MNG6
o	O1
oa	wa1
oai	waj1
oan	wan1
oang	waNG1
oanh	wEXNJ1
oe	wE1
oi	Oj1
om	Om1
ong	OXNG1
oàm	wam2
oàng	waNG2
oành	wEXNJ2
oác	wak5
oách	wEXk5
oái	waj5
oán	wan5
oát	wat5
oé	wE5
oăm	waXm1
oăng	waXNG1
oạch	wEXk6
oại	waj6
oạp	wap6
oải	waj3
oản	wan3
oắt	waXt5
oằn	waXn2
oẳn	waXn3
oẳng	waXNG3
oặt	waXt6
oẹ	wE6
oẻ	wE3
pa	p a1
pan	p an1
pao	p aw1
pe	p E1
pha	f a1
phai	f aj1
phan	f an1
phang	f aNG1
phanh	f EXNJ1
phao	f aw1
phau	f aXw1
phay	f aXj1
phe	f E1
phen	f En1
pheo	f Ew1
phi	f i1
phim	f im1
phin	f in1
phinh	f iNJ1
phiu	f iw1
phiên	f ien1
phiêu	f iew1
phiếm	f iem5
phiến	f ien5
phiết	f iet5
phiếu	f iew5
phiền	f ien2
phiều	f iew2
phiện	f ien6
phiệt	f iet6
phiệu	f iew6
pho	f O1
phoi	f Oj1
phom	f Om1
phong	f OXNG1
photocopy f o1 t o1 k Op5 p i1
phu	f u1
phui	f uj1
phun	f un1
phung	f uNG1
phuy	f wi1
phà	f a2
phàm	f am2
phàn	f an2
phàng	f aNG2
phành	f EXNJ2
phào	f aw2
phá	f a5
phác	f ak5
phách	f EXk5
phái	f aj5
phán	f an5
pháo	f aw5
pháp	f ap5
phát	f at5
phân	f 7Xn1
phây	f 7Xj1
phè	f E2
phèn	f En2
phèng	f ENG2
phèo	f Ew2
phéng	f ENG5
phép	f Ep5
phét	f Et5
phê	f e1
phên	f en1
phì	f i2
phìa	f ie2
phình	f iNJ2
phí	f i5
phía	f ie5
phích	f ik5
phím	f im5
phính	f iNJ5
phò	f O2
phòi	f Oj2
phòng	f OXNG2
phó	f O5
phóc	f OXk5
phóng	f OXNG5
phót	f Ot5
phô	f o1
phôi	f oj1
phôm	f om1
phông	f oNG1
phù	f u2
phùn	f un2
phùng	f uNG2
phú	f u5
phúc	f uk5
phún	f un5
phúng	f uNG5
phút	f ut5
phăm	f aXm1
phăn	f aXn1
phăng	f aXNG1
phĩnh	f iNJ4
phũ	f u4
phơ	f 71
phơi	f 7j1
phơn	f 7n1
phưng	f MNG1
phương	f M7NG1
phước	f M7k5
phướn	f M7n5
phướng	f M7NG5
phường	f M7NG2
phưỡn	f M7n4
phượng	f M7NG6
phượu	f M7w6
phạch	f EXk6
phạm	f am6
phạn	f an6
phạng	f aNG6
phạt	f at6
phả	f a3
phải	f aj3
phản	f an3
phảng	f aNG3
phảy	f aXj3
phấn	f 7Xn5
phấp	f 7Xp5
phất	f 7Xt5
phầm	f 7Xm2
phần	f 7Xn2
phẩm	f 7Xm3
phẩn	f 7Xn3
phẩy	f 7Xj3
phẫn	f 7Xn4
phẫu	f 7Xw4
phận	f 7Xn6
phập	f 7Xp6
phật	f 7Xt6
phắc	f aXk5
phắn	f aXn5
phắp	f aXp5
phắt	f aXt5
phẳng	f aXNG3
phẹt	f Et6
phế	f e5
phếch	f ek5
phết	f et5
phề	f e2
phềnh	f eNJ2
phều	f ew2
phễn	f en4
phễu	f ew4
phệ	f e6
phệnh	f eNJ6
phệt	f et6
phỉ	f i3
phỉnh	f iNJ3
phị	f i6
phịa	f ie6
phịch	f ik6
phịt	f it6
phịu	f iw6
phọng	f OXNG6
phọt	f Ot6
phỏng	f OXNG3
phố	f o5
phốc	f ok5
phối	f oj5
phốp	f op5
phốt	f ot5
phồ	f o2
phồm	f om2
phồn	f on2
phồng	f oNG2
phổ	f o3
phổi	f oj3
phổng	f oNG3
phỗng	f oNG4
phộng	f oNG6
phới	f 7j5
phớt	f 7t5
phờ	f 72
phở	f 73
phỡn	f 7n4
phụ	f u6
phục	f uk6
phụng	f uNG6
phụt	f ut6
phủ	f u3
phủi	f uj3
phứa	f M75
phức	f Mk5
phứt	f Mt5
phừng	f MNG2
phựa	f M76
phựt	f Mt6
pi	p i1
pin	p in1
ping	p iNG1
pu	p u1
pác	p ak5
páp	p ap5
pê	p e1
pô	p o1
pông	p oNG1
pơ	p 71
qua	 a1
quai	 aj1
quan	 an1
quang	 aNG1
quanh	 EXNJ1
quao	 aw1
quau	 aXw1
quay	 aXj1
que	 E1
quen	 En1
queo	 Ew1
qui	 i1
quoàng	 waNG2
quoạng	 waNG6
quoắt	 waXt5
quy	 i1
quyên	 ien1
quyến	 ien5
quyết	 iet5
quyền	 ien2
quyển	 ien3
quyện	 ien6
quyệt	 iet6
quà	 a2
quài	 aj2
quàn	 an2
quàng	 aNG2
quành	 EXNJ2
quào	 aw2
quàu	 aXw2
quày	 aXj2
quá	 a5
quác	 ak5
quách	 EXk5
quái	 aj5
quán	 an5
quáng	 aNG5
quánh	 EXNJ5
quáo	 aw5
quát	 at5
quáu	 aXw5
quân	 7Xn1
quây	 7Xj1
quãng	 aNG4
què	 E2
quèn	 En2
quèo	 Ew2
qué	 E5
quén	 En5
quéo	 Ew5
quét	 Et5
quê	 e1
quên	 en1
quí	 i5
quít	 it5
quý	 i5
quýnh	 iNJ5
quýt	 it5
quăm	 aXm1
quăn	 aXn1
quăng	 aXNG1
quơ	 71
quạ	 a6
quạc	 ak6
quạch	 EXk6
quại	 aj6
quạng	 aNG6
quạnh	 EXNJ6
quạt	 at6
quạu	 aXw6
quạy	 aXj6
quả	 a3
quải	 aj3
quản	 an3
quảng	 aNG3
quảy	 aXj3
quấc	 7Xk5
quấn	 7Xn5
quất	 7Xt5
quấy	 7Xj5
quần	 7Xn2
quầng	 7XNG2
quầy	 7Xj2
quẩn	 7Xn3
quẩng	 7XNG3
quẩy	 7Xj3
quẫn	 7Xn4
quẫy	 7Xj4
quận	 7Xn6
quật	 7Xt6
quậy	 7Xj6
quắc	 aXk5
quắm	 aXm5
quắn	 aXn5
quắp	 aXp5
quắt	 aXt5
quằn	 aXn2
quẳm	 aXm3
quẳng	 aXNG3
quặc	 aXk6
quặm	 aXm6
quặn	 aXn6
quặng	 aXNG6
quặp	 aXp6
quặt	 aXt6
quẹo	 Ew6
quẹt	 Et6
quẻ	 E3
quẽ	 E4
quế	 e5
quết	 et5
quếu	 ew5
quềnh	 eNJ2
quều	 ew2
quệ	 e6
quệch	 ek6
quện	 en6
quệnh	 eNJ6
quệt	 et6
quỉ	 i3
quịt	 it6
quốc	 ok5
quớ	 75
quờ	 72
quở	 73
quỳ	 i2
quỳnh	 iNJ2
quỵt	 it6
quỷ	 i3
quỷnh	 iNJ3
quỹ	 i4
qùy	 i2
qúy	 i5
qũy	 i4
qụy	 i6
qủy	 i3
ra	zr a1
rai	zr aj1
ram	zr am1
ran	zr an1
rang	zr aNG1
ranh	zr EXNJ1
rao	zr aw1
rau	zr aXw1
ray	zr aXj1
re	zr E1
ren	zr En1
reng	zr ENG1
reo	zr Ew1
ri	zr i1
ria	zr ie1
rim	zr im1
rin	zr in1
rinh	zr iNJ1
riu	zr iw1
riêng	zr ieNG1
riêu	zr iew1
riết	zr iet5
riếu	zr iew5
riềm	zr iem2
riềng	zr ieNG2
riệt	zr iet6
ro	zr O1
roa	zr wa1
roi	zr Oj1
rom	zr Om1
rong	zr OXNG1
ru	zr u1
rua	zr uo1
rum	zr um1
run	zr un1
rung	zr uNG1
ruốc	zr uok5
ruối	zr uoj5
ruồi	zr uoj2
ruồng	zr uoNG2
ruổi	zr uoj3
ruỗng	zr uoNG4
ruộm	zr uom6
ruộng	zr uoNG6
ruột	zr uot6
rà	zr a2
rài	zr aj2
ràn	zr an2
ràng	zr aNG2
rành	zr EXNJ2
rào	zr aw2
rày	zr aXj2
rá	zr a5
rác	zr ak5
rách	zr EXk5
rái	zr aj5
rám	zr am5
rán	zr an5
ráng	zr aNG5
ráo	zr aw5
ráp	zr ap5
rát	zr at5
ráy	zr aXj5
râm	zr 7Xm1
rân	zr 7Xn1
râu	zr 7Xw1
rây	zr 7Xj1
rã	zr a4
rãi	zr aj4
rãnh	zr EXNJ4
rão	zr aw4
rãy	zr aXj4
rè	zr E2
rèm	zr Em2
rèn	zr En2
rèo	zr Ew2
ré	zr E5
rén	zr En5
réo	zr Ew5
rét	zr Et5
rê	zr e1
rên	zr en1
rêu	zr ew1
rì	zr i2
rìa	zr ie2
rình	zr iNJ2
rìu	zr iw2
rí	zr i5
rích	zr ik5
rít	zr it5
ríu	zr iw5
rò	zr O2
ròi	zr Oj2
ròm	zr Om2
ròng	zr OXNG2
ró	zr O5
róc	zr OXk5
rói	zr Oj5
róm	zr Om5
rón	zr On5
róng	zr OXNG5
rót	zr Ot5
rô	zr o1
rôm	zr om1
rông	zr oNG1
rõ	zr O4
rõi	zr Oj4
rù	zr u2
rùa	zr uo2
rùm	zr um2
rùn	zr un2
rùng	zr uNG2
rú	zr u5
rúc	zr uk5
rúi	zr uj5
rúm	zr um5
rún	zr un5
rúng	zr uNG5
rúp	zr up5
rút	zr ut5
răm	zr aXm1
răn	zr aXn1
răng	zr aXNG1
rĩ	zr i4
rũ	zr u4
rũa	zr uo4
rơ	zr 71
rơi	zr 7j1
rơm	zr 7m1
rơn	zr 7n1
rư	zr M1
rưa	zr M71
rưng	zr MNG1
rươi	zr M7j1
rươm	zr M7m1
rương	zr M7NG1
rước	zr M7k5
rưới	zr M7j5
rướm	zr M7m5
rướn	zr M7n5
rười	zr M7j2
rườm	zr M7m2
rườn	zr M7n2
rường	zr M7NG2
rưởi	zr M7j3
rưỡi	zr M7j4
rượi	zr M7j6
rượn	zr M7n6
rượt	zr M7t6
rượu	zr M7w6
rạ	zr a6
rạc	zr ak6
rạch	zr EXk6
rạn	zr an6
rạng	zr aNG6
rạo	zr aw6
rạp	zr ap6
rạt	zr at6
rạy	zr aXj6
rả	zr a3
rải	zr aj3
rảnh	zr EXNJ3
rảo	zr aw3
rảy	zr aXj3
rấm	zr 7Xm5
rấn	zr 7Xn5
rấp	zr 7Xp5
rất	zr 7Xt5
rầm	zr 7Xm2
rần	zr 7Xn2
rầu	zr 7Xw2
rầy	zr 7Xj2
rẩm	zr 7Xm3
rẩy	zr 7Xj3
rẫm	zr 7Xm4
rẫy	zr 7Xj4
rậm	zr 7Xm6
rận	zr 7Xn6
rập	zr 7Xp6
rật	zr 7Xt6
rắc	zr aXk5
rắm	zr aXm5
rắn	zr aXn5
rắp	zr aXp5
rắt	zr aXt5
rằm	zr aXm2
rằn	zr aXn2
rằng	zr aXNG2
rặng	zr aXNG6
rặt	zr aXt6
rẹo	zr Ew6
rẹt	zr Et6
rẻ	zr E3
rẻng	zr ENG3
rẻo	zr Ew3
rẽ	zr E4
rế	zr e5
rếch	zr ek5
rến	zr en5
rếp	zr ep5
rết	zr et5
rề	zr e2
rền	zr en2
rều	zr ew2
rể	zr e3
rểnh	zr eNJ3
rễ	zr e4
rệ	zr e6
rệch	zr ek6
rện	zr en6
rệp	zr ep6
rệt	zr et6
rệu	zr ew6
rỉ	zr i3
rỉa	zr ie3
rỉnh	zr iNJ3
rịch	zr ik6
rịn	zr in6
rịt	zr it6
rọ	zr O6
rọc	zr OXk6
rọi	zr Oj6
rọm	zr Om6
rọt	zr Ot6
rỏ	zr O3
rỏm	zr Om3
rỏn	zr On3
rốc	zr ok5
rối	zr oj5
rốn	zr on5
rống	zr oNG5
rốp	zr op5
rốt	zr ot5
rồ	zr o2
rồi	zr oj2
rồm	zr om2
rồng	zr oNG2
rổ	zr o3
rổi	zr oj3
rổng	zr oNG3
rỗ	zr o4
rỗi	zr oj4
rỗng	zr oNG4
rộ	zr o6
rộc	zr ok6
rộm	zr om6
